Progeny/Strain, allele, count, prop, a_prop, b_prop, h_prop
MAnderson017_158_R225-2_S98.sort.GT,2,37,0.00149,0.15434,0.00149,0.84418
MAnderson017_158_R225-2_S98.sort.GT,n,21009,0.84418,0.15434,0.00149,0.84418
MAnderson017_881_R225-2_S93.sort.GT,1,228,0.00916,0.00916,0.00024,0.9906
MAnderson017_881_R225-2_S93.sort.GT,2,6,0.00024,0.00916,0.00024,0.9906
MAnderson017_881_R225-2_S93.sort.GT,n,24656,0.9906,0.00916,0.00024,0.9906
MAnderson017_885_R225-2_S94.sort.GT,1,211,0.00848,0.00848,0.00064,0.99088
MAnderson017_885_R225-2_S94.sort.GT,2,16,0.00064,0.00848,0.00064,0.99088
MAnderson017_885_R225-2_S94.sort.GT,n,24665,0.99088,0.00848,0.00064,0.99088
MAnderson017_887_R225-2_S51.sort.GT,1,220,0.00883,0.00883,0.00052,0.99065
MAnderson017_887_R225-2_S51.sort.GT,2,13,0.00052,0.00883,0.00052,0.99065
MAnderson017_887_R225-2_S51.sort.GT,n,24675,0.99065,0.00883,0.00052,0.99065
MAnderson017_888_R225-2_S53.sort.GT,1,221,0.00887,0.00887,0.0004,0.99073
MAnderson017_888_R225-2_S53.sort.GT,2,10,0.0004,0.00887,0.0004,0.99073
MAnderson017_888_R225-2_S53.sort.GT,n,24679,0.99073,0.00887,0.0004,0.99073
MAnderson017_889_R225-2_S76.sort.GT,1,233,0.00935,0.00935,0.00028,0.99037
MAnderson017_889_R225-2_S76.sort.GT,2,7,0.00028,0.00935,0.00028,0.99037
MAnderson017_889_R225-2_S76.sort.GT,n,24678,0.99037,0.00935,0.00028,0.99037
MAnderson017_890_R225-2_S77.sort.GT,1,229,0.0092,0.0092,0.00048,0.99032
MAnderson017_890_R225-2_S77.sort.GT,2,12,0.00048,0.0092,0.00048,0.99032
MAnderson017_890_R225-2_S77.sort.GT,n,24655,0.99032,0.0092,0.00048,0.99032
MAnderson017_891_R225-2_S97.sort.GT,1,210,0.00843,0.00843,0.00036,0.9912
MAnderson017_891_R225-2_S97.sort.GT,2,9,0.00036,0.00843,0.00036,0.9912
