Progeny/Strain, allele, count, prop, a_prop, b_prop, h_prop
MAnderson017_146_R225-2_S52_R1_001_val_1.sort.GT,2,4,0.00017,0.01287,0.00017,0.98696
MAnderson017_146_R225-2_S52_R1_001_val_1.sort.GT,n,23241,0.98696,0.01287,0.00017,0.98696
MAnderson017_147_R225-2_S78_R1_001_val_1.sort.GT,1,316,0.01342,0.01342,0.00021,0.98637
MAnderson017_147_R225-2_S78_R1_001_val_1.sort.GT,2,5,0.00021,0.01342,0.00021,0.98637
MAnderson017_147_R225-2_S78_R1_001_val_1.sort.GT,n,23226,0.98637,0.01342,0.00021,0.98637
MAnderson017_148_R225-2_S79_R1_001_val_1.sort.GT,1,330,0.01402,0.01402,0.00034,0.98564
MAnderson017_148_R225-2_S79_R1_001_val_1.sort.GT,2,8,0.00034,0.01402,0.00034,0.98564
MAnderson017_148_R225-2_S79_R1_001_val_1.sort.GT,n,23207,0.98564,0.01402,0.00034,0.98564
MAnderson017_158_R225-2_S98_R1_001_val_1.sort.GT,1,3723,0.15829,0.15829,0.00259,0.83912
MAnderson017_158_R225-2_S98_R1_001_val_1.sort.GT,2,61,0.00259,0.15829,0.00259,0.83912
MAnderson017_158_R225-2_S98_R1_001_val_1.sort.GT,n,19736,0.83912,0.15829,0.00259,0.83912
MAnderson017_881_R225-2_S93_R1_001_val_1.sort.GT,1,304,0.01291,0.01291,0.00021,0.98688
MAnderson017_881_R225-2_S93_R1_001_val_1.sort.GT,2,5,0.00021,0.01291,0.00021,0.98688
MAnderson017_881_R225-2_S93_R1_001_val_1.sort.GT,n,23237,0.98688,0.01291,0.00021,0.98688
MAnderson017_885_R225-2_S94_R1_001_val_1.sort.GT,1,332,0.0141,0.0141,0.0003,0.9856
MAnderson017_885_R225-2_S94_R1_001_val_1.sort.GT,2,7,0.0003,0.0141,0.0003,0.9856
MAnderson017_885_R225-2_S94_R1_001_val_1.sort.GT,n,23206,0.9856,0.0141,0.0003,0.9856
MAnderson017_887_R225-2_S51_R1_001_val_1.sort.GT,1,281,0.01193,0.01193,0.00025,0.98781
MAnderson017_887_R225-2_S51_R1_001_val_1.sort.GT,2,6,0.00025,0.01193,0.00025,0.98781
MAnderson017_887_R225-2_S51_R1_001_val_1.sort.GT,n,23261,0.98781,0.01193,0.00025,0.98781
MAnderson017_888_R225-2_S53_R1_001_val_1.sort.GT,1,312,0.01325,0.01325,0.00059,0.98615
MAnderson017_888_R225-2_S53_R1_001_val_1.sort.GT,2,14,0.00059,0.01325,0.00059,0.98615
MAnderson017_888_R225-2_S53_R1_001_val_1.sort.GT,n,23217,0.98615,0.01325,0.00059,0.98615
MAnderson017_889_R225-2_S76_R1_001_val_1.sort.GT,1,294,0.01249,0.01249,0.00025,0.98726
MAnderson017_889_R225-2_S76_R1_001_val_1.sort.GT,2,6,0.00025,0.01249,0.00025,0.98726
MAnderson017_889_R225-2_S76_R1_001_val_1.sort.GT,n,23248,0.98726,0.01249,0.00025,0.98726
MAnderson017_890_R225-2_S77_R1_001_val_1.sort.GT,1,391,0.01661,0.01661,0.00021,0.98318
MAnderson017_890_R225-2_S77_R1_001_val_1.sort.GT,2,5,0.00021,0.01661,0.00021,0.98318
MAnderson017_890_R225-2_S77_R1_001_val_1.sort.GT,n,23146,0.98318,0.01661,0.00021,0.98318
MAnderson017_891_R225-2_S97_R1_001_val_1.sort.GT,1,330,0.01402,0.01402,0.00017,0.98581
MAnderson017_891_R225-2_S97_R1_001_val_1.sort.GT,2,4,0.00017,0.01402,0.00017,0.98581
MAnderson017_891_R225-2_S97_R1_001_val_1.sort.GT,n,23208,0.98581,0.01402,0.00017,0.98581
MAnderson017_892_R225-2_S58_R1_001_val_1.sort.GT,1,331,0.01406,0.01406,0.00034,0.9856
MAnderson017_892_R225-2_S58_R1_001_val_1.sort.GT,2,8,0.00034,0.01406,0.00034,0.9856
MAnderson017_892_R225-2_S58_R1_001_val_1.sort.GT,n,23207,0.9856,0.01406,0.00034,0.9856
MAnderson017_893_R225-2_S92_R1_001_val_1.sort.GT,1,313,0.01329,0.01329,0.00021,0.9865
MAnderson017_893_R225-2_S92_R1_001_val_1.sort.GT,2,5,0.00021,0.01329,0.00021,0.9865
MAnderson017_893_R225-2_S92_R1_001_val_1.sort.GT,n,23233,0.9865,0.01329,0.00021,0.9865
MAnderson017_894_R225-2_S34_R1_001_val_1.sort.GT,1,317,0.01346,0.01346,0.00047,0.98607
MAnderson017_894_R225-2_S34_R1_001_val_1.sort.GT,2,11,0.00047,0.01346,0.00047,0.98607
MAnderson017_894_R225-2_S34_R1_001_val_1.sort.GT,n,23217,0.98607,0.01346,0.00047,0.98607
MAnderson017_895_R225-2_S36_R1_001_val_1.sort.GT,1,296,0.01257,0.01257,0.00051,0.98692
MAnderson017_895_R225-2_S36_R1_001_val_1.sort.GT,2,12,0.00051,0.01257,0.00051,0.98692
MAnderson017_895_R225-2_S36_R1_001_val_1.sort.GT,n,23239,0.98692,0.01257,0.00051,0.98692
MAnderson017_896_R225-2_S54_R1_001_val_1.sort.GT,1,317,0.01348,0.01348,0.00153,0.98498
MAnderson017_896_R225-2_S54_R1_001_val_1.sort.GT,2,36,0.00153,0.01348,0.00153,0.98498
MAnderson017_896_R225-2_S54_R1_001_val_1.sort.GT,n,23156,0.98498,0.01348,0.00153,0.98498
MAnderson017_899_R225-2_S40_R1_001_val_1.sort.GT,1,315,0.01338,0.01338,0.00034,0.98628
MAnderson017_899_R225-2_S40_R1_001_val_1.sort.GT,2,8,0.00034,0.01338,0.00034,0.98628
MAnderson017_899_R225-2_S40_R1_001_val_1.sort.GT,n,23220,0.98628,0.01338,0.00034,0.98628
MAnderson017_900_R225-2_S88_R1_001_val_1.sort.GT,1,346,0.0147,0.0147,0.00025,0.98505
MAnderson017_900_R225-2_S88_R1_001_val_1.sort.GT,2,6,0.00025,0.0147,0.00025,0.98505
MAnderson017_900_R225-2_S88_R1_001_val_1.sort.GT,n,23193,0.98505,0.0147,0.00025,0.98505
MAnderson017_901_R225-2_S99_R1_001_val_1.sort.GT,1,284,0.01206,0.01206,8e-05,0.98785
MAnderson017_901_R225-2_S99_R1_001_val_1.sort.GT,2,2,8e-05,0.01206,8e-05,0.98785
MAnderson017_901_R225-2_S99_R1_001_val_1.sort.GT,n,23261,0.98785,0.01206,8e-05,0.98785
MAnderson017_902_R225-2_S59_R1_001_val_1.sort.GT,1,304,0.01291,0.01291,0.00025,0.98683
MAnderson017_902_R225-2_S59_R1_001_val_1.sort.GT,2,6,0.00025,0.01291,0.00025,0.98683
MAnderson017_902_R225-2_S59_R1_001_val_1.sort.GT,n,23236,0.98683,0.01291,0.00025,0.98683
MAnderson017_905_R225-2_S102_R1_001_val_1.sort.GT,1,291,0.01236,0.01236,0.00017,0.98747
MAnderson017_905_R225-2_S102_R1_001_val_1.sort.GT,2,4,0.00017,0.01236,0.00017,0.98747
MAnderson017_905_R225-2_S102_R1_001_val_1.sort.GT,n,23253,0.98747,0.01236,0.00017,0.98747
MAnderson017_907_R225-2_S35_R1_001_val_1.sort.GT,1,250,0.01063,0.01063,0.00306,0.9863
