filamentation/529L_6_174,688342
filamentation/SC5319_6_118,704545
filamentation/Mixed_Plate_S449_122,726921
filamentation/529L_7_172,758639
filamentation/SC5320_7_116,759563
filamentation/529L_4_146,774635
filamentation/Mixed_Plate_S463_178,872002
filamentation/Mixed_Plate_S445_114,879699
filamentation/Mixed_Plate_S451_126,893805
filamentation/529L_2_150,914104
filamentation/529L_8_170,934974
filamentation/SC5321_8_114,951849
filamentation/SC5318_5_120,1067546
filamentation/Mixed_Plate_S461_206,1192855
filamentation/SC5317_4_122,1258782
filamentation/SC5322_9_144,1411442
filamentation/Mixed_Plate_S472_162,1432759
filamentation/SC5323_10_142,1765736
filamentation/Mixed_Plate_S459_204,2258068
